Category: All categories

Month,Sharing economy: (United States)
2004-01,18
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,13
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,6
2006-11,0
2006-12,0
2007-01,0
2007-02,6
2007-03,5
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,5
2007-09,5
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,4
2008-09,0
2008-10,3
2008-11,0
2008-12,3
2009-01,0
2009-02,0
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,0
2009-08,0
2009-09,0
2009-10,3
2009-11,3
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,2
2010-08,7
2010-09,0
2010-10,0
2010-11,7
2010-12,2
2011-01,4
2011-02,2
2011-03,2
2011-04,5
2011-05,3
2011-06,0
2011-07,2
2011-08,2
2011-09,2
2011-10,3
2011-11,2
2011-12,0
2012-01,3
2012-02,3
2012-03,4
2012-04,7
2012-05,3
2012-06,3
2012-07,5
2012-08,4
2012-09,5
2012-10,5
2012-11,5
2012-12,4
2013-01,12
2013-02,4
2013-03,21
2013-04,21
2013-05,13
2013-06,26
2013-07,25
2013-08,16
2013-09,26
2013-10,30
2013-11,31
2013-12,26
2014-01,32
2014-02,21
2014-03,30
2014-04,35
2014-05,46
2014-06,56
2014-07,48
2014-08,47
2014-09,59
2014-10,49
2014-11,38
2014-12,35
2015-01,45
2015-02,66
2015-03,45
2015-04,53
2015-05,74
2015-06,75
2015-07,100
2015-08,75
2015-09,90
2015-10,91
2015-11,93
2015-12,76
2016-01,68
2016-02,74
2016-03,68
2016-04,77
2016-05,77
2016-06,63
2016-07,52
2016-08,47
2016-09,51
2016-10,66
2016-11,61
2016-12,42
2017-01,48
2017-02,54
2017-03,48
2017-04,67
2017-05,55
2017-06,43
2017-07,48
2017-08,36
2017-09,52
2017-10,50
2017-11,68
2017-12,50
2018-01,38
2018-02,30
2018-03,56
2018-04,55
2018-05,47
2018-06,33
2018-07,40
2018-08,29
2018-09,50
2018-10,48
2018-11,40
2018-12,31
2019-01,34
2019-02,34
